set_id,group_key,n_files,has_block,has_slide,tissue_token,genotype,work_order,blocking,warnings,evaluable
1,set_01,2,True,True,lung,TWKOB4,,,yellow_tag_set:confirm_with_mentor,True
2,set_02,3,True,True,lungs,WT3,WO7842,,,True
3,set_03,3,True,True,esophagus,TWKO4,WO7842,,,True
4,set_04,3,True,True,esophagus,WT5,WO7842,,,True
5,set_05,3,True,True,lungs,WT2,WO7842,,,True
6,set_06,3,True,True,lungs,TWKO5,WO7842,,,True
7,set_07,3,True,True,esophagus,TWKO5,WO7842,,,True
8,set_08,3,True,True,lungs,WT2,WO7842,,,True
9,set_09,3,True,True,esophagus,TWKO3,WO7842,,,True
10,set_10,3,True,True,esophagus,TWKO2,WO7842,,,True
11,set_11,3,True,True,esophagus,TWKO1,WO7842,,,True
12,set_12,3,True,True,esophagus,N2,WO7842,,,True
13,set_13,3,True,True,lungs,WT3,WO7842,,,True
14,set_14,3,True,True,lungs,WT1,WO7842,,,True
15,set_15,3,True,True,lungs,TWKO5,WO7842,,,True
16,set_16,3,True,True,lungs,TWKO4,WO7842,,,True
17,set_17,3,True,True,lungs,TWKO3,WO7842,,,True
18,set_18,3,True,True,lungs,TWKO2,WO7842,,,True
19,set_19,3,True,True,lungs,TWKO1,WO7842,,,True
20,set_20,3,True,True,lungs,NAIVE,WO7842,,,True
21,set_21,3,True,True,lung,N2,WO7842,,,True
22,set_22,3,True,True,lung,N1,WO7842,,,True
23,set_23,3,True,True,esophagus,N2,WO7482,,,True
24,set_24,3,True,True,esophagus,TWKO1,WO7482,,,True
25,set_25,3,True,True,esophagus,TWKO2,WO7482,,,True
26,set_26,3,True,True,esophagus,TWKO3,WO7482,,,True
27,set_27,3,True,True,esophagus,TWKO5,WO7482,,,True
28,set_28,3,True,True,esophagus,WT5,WO7482,,,True
29,set_29,3,True,True,lung,N1,WO7482,,,True
30,set_30,3,True,True,lung,N2,WO7482,,,True
31,set_31,3,True,True,lungs,TWKO5,WO7482,,,True
32,set_32,3,True,True,lungs,WT2,WO7482,,,True
33,set_33,3,True,True,lungs,WT3,WO7482,,,True
34,set_34,3,True,True,lungs,NAIVE,WO7482,,,True
35,set_35,3,True,True,lungs,TWKO1,WO7482,,,True
36,set_36,3,True,True,lungs,TWKO2,WO7482,,,True
37,set_37,3,True,True,lungs,TWKO3,WO7482,,,True
38,set_38,3,True,True,lungs,TWKO4,WO7482,,,True
39,set_39,3,True,True,lungs,WT1,WO7482,,,True
40,set_40,3,True,True,esophagus,WT1,WO7482,,,True
41,set_41,3,True,True,esophagus,TWKO4,WO7482,,"work_order_mismatch:['WO7482', 'WO7842']",True
42,set_42,3,True,True,esophagus,N1,WO7482,,,True
43,set_43,3,True,True,esophagus,WT2,WO7482,,,True
44,set_44,3,True,True,esophagus,WT3,WO7482,,,True
45,set_45,3,True,True,esophagus,WT4,WO7482,,,True
46,set_46,3,True,True,lungs,WT4,WO7482,,,True
47,set_47,3,True,True,lungs,WT5,WO7482,,,True
